# RA DEC XI ETA F475W F814W V VERR
11.14 41.55 0.341 0.282 21.642 21.521 -11.101 17.448 
11.119 41.55 0.326 0.282 20.55 20.459 -89.787 39.836 
11.112 41.553 0.321 0.284 22.207 20.481 -130.46 7.657 
11.13 41.553 0.334 0.285 21.551 21.621 -104.133 12.2 
11.108 41.564 0.317 0.296 21.83 21.908 -216.967 15.109 
11.097 41.574 0.309 0.305 20.808 20.675 -13.561 8.922 
11.124 41.575 0.33 0.307 20.719 20.151 -19.806 8.247 
11.117 41.58 0.325 0.311 22.478 22.477 -100.024 20.67 
11.105 41.581 0.315 0.313 17.7 17.204 -119.47 0.662 
11.106 41.585 0.316 0.316 22.103 21.147 -60.34 10.351 
11.112 41.588 0.32 0.32 22.166 22.203 20.602 13.395 
11.111 41.59 0.32 0.321 22.799 22.646 -98.579 33.993 
11.116 41.592 0.324 0.323 21.466 21.25 14.663 11.682 
11.115 41.596 0.323 0.327 20.856 20.142 -70.879 5.545 
11.164 41.599 0.36 0.331 19.349 18.36 -135.603 1.472 
11.109 41.602 0.318 0.334 19.505 19.004 -67.11 1.928 
11.112 41.609 0.32 0.341 21.047 21.059 164.026 20.313 
11.165 41.618 0.36 0.349 20.334 20.4 -105.419 8.452 
11.096 41.62 0.308 0.351 21.748 21.262 66.128 7.91 
11.163 41.62 0.359 0.352 21.032 20.229 -135.083 5.804 
11.114 41.631 0.322 0.363 23.039 22.792 -575.545 13.205 
11.043 41.222 0.269 -0.046 22.08 21.987 -350.989 11.309 
11.059 41.225 0.282 -0.044 22.066 21.549 -339.325 23.072 
11.099 41.231 0.312 -0.037 20.404 19.923 -281.092 9.304 
11.03 41.233 0.26 -0.036 22.465 22.241 -306.43 -299800.0 
11.027 41.233 0.257 -0.036 20.938 20.121 -256.833 8.05 
11.022 41.238 0.254 -0.031 20.763 19.301 -257.87 3.838 
11.015 41.24 0.248 -0.028 21.507 21.034 -195.58 17.347 
11.035 41.244 0.263 -0.025 20.567 20.267 -280.81 16.541 
11.054 41.254 0.277 -0.015 22.393 22.133 -285.437 19.879 
11.037 41.261 0.265 -0.008 18.862 18.501 -183.687 4.009 
11.019 41.263 0.251 -0.006 22.357 21.785 -119.661 25.99 
11.029 41.265 0.259 -0.004 21.39 20.311 -237.701 17.277 
11.064 41.27 0.285 0.001 21.457 20.547 -289.071 11.837 
11.055 41.271 0.278 0.002 21.982 21.235 -349.527 24.519 
11.02 41.273 0.252 0.004 21.387 20.881 -274.272 -299800.0 
11.046 41.278 0.271 0.01 20.67 20.376 -373.653 6.841 
11.06 41.279 0.282 0.011 19.489 19.462 -251.929 16.745 
11.039 41.282 0.266 0.013 20.574 19.696 -234.559 10.366 
11.025 41.284 0.256 0.016 20.779 20.731 -11.51 22.617 
11.044 41.293 0.27 0.025 19.905 19.45 -249.174 -299800.0 
11.082 41.296 0.299 0.027 20.245 19.744 -226.662 9.09 
11.049 41.301 0.274 0.032 19.863 19.564 -239.879 12.971 
11.071 41.302 0.29 0.033 19.426 19.045 -264.299 10.202 
11.034 41.306 0.263 0.037 20.635 19.078 -407.446 8.336 
11.052 41.308 0.276 0.039 21.008 19.814 -277.35 7.901 
11.03 41.314 0.26 0.046 21.338 20.534 -232.361 -299800.0 
11.055 41.325 0.279 0.056 21.351 20.835 -196.274 10.353 
11.08 41.331 0.297 0.062 21.05 20.642 -291.812 14.129 
11.033 41.333 0.262 0.064 20.056 20.108 -240.694 15.742 
11.056 41.334 0.279 0.065 21.97 22.012 -243.716 16.004 
11.038 41.34 0.265 0.071 20.158 19.565 -214.455 18.646 
11.005 41.345 0.241 0.076 22.749 21.067 -278.257 32.897 
11.067 41.345 0.287 0.077 21.92 20.355 -267.638 -299800.0 
10.998 41.353 0.236 0.084 21.684 21.473 -262.695 15.603 
11.063 41.353 0.284 0.085 20.216 20.161 -184.743 20.258 
10.967 41.363 0.212 0.094 21.543 21.204 -68.274 14.245 
11.055 41.366 0.279 0.097 20.4 19.912 -246.877 9.834 
11.031 41.366 0.26 0.097 21.404 21.015 -265.541 -299800.0 
11.009 41.368 0.244 0.099 21.48 21.115 -252.364 -299800.0 
10.951 41.37 0.2 0.101 20.539 19.917 -189.23 9.411 
11.058 41.38 0.28 0.111 21.381 20.373 -213.655 49.445 
11.019 41.38 0.251 0.111 21.198 20.335 -239.526 21.743 
10.978 41.38 0.22 0.111 21.05 19.596 -155.875 6.903 
10.986 41.407 0.226 0.138 22.04 21.931 -234.532 11.647 
10.969 41.411 0.214 0.142 21.617 20.055 -201.282 11.392 
10.985 41.411 0.226 0.142 21.096 20.473 -212.07 19.751 
10.988 41.413 0.228 0.144 21.805 21.06 -185.443 26.758 
10.984 41.426 0.224 0.157 21.5 21.386 -78.316 9.161 
10.977 41.428 0.22 0.159 22.105 20.788 79.684 21.74 
11.014 41.429 0.247 0.16 22.494 21.572 -133.915 22.55 
10.982 41.44 0.223 0.171 20.727 20.311 -138.375 7.386 
11.434 41.568 0.562 0.301 21.366 21.022 -244.814 7.339 
11.41 41.583 0.544 0.316 21.146 20.118 -192.535 3.439 
11.43 41.59 0.559 0.323 21.742 21.792 -212.364 40.467 
11.507 41.602 0.617 0.335 22.217 21.882 -151.275 11.502 
11.417 41.606 0.549 0.34 20.72 20.023 -225.572 2.59 
11.46 41.61 0.581 0.344 20.661 19.618 -121.503 7.24 
11.477 41.612 0.594 0.346 20.858 20.021 -167.421 2.579 
11.462 41.616 0.583 0.35 21.405 20.274 -164.174 2.782 
11.493 41.625 0.606 0.358 22.807 22.457 -151.529 18.17 
11.47 41.637 0.589 0.371 21.141 19.846 -120.586 2.044 
11.443 41.65 0.568 0.383 22.031 22.189 -180.171 13.336 
11.486 41.656 0.601 0.389 21.694 21.017 -155.139 5.137 
11.446 41.661 0.571 0.394 21.943 21.905 -40.698 15.011 
11.436 41.661 0.563 0.394 22.401 22.571 -18.812 11.887 
11.456 41.668 0.579 0.401 21.018 19.697 -83.867 6.389 
11.44 41.668 0.566 0.402 22.541 21.076 -151.526 10.371 
11.491 41.688 0.604 0.422 20.595 19.873 -171.199 5.776 
11.476 41.694 0.593 0.427 22.963 22.835 -146.897 11.205 
11.452 41.695 0.575 0.429 21.24 21.311 -135.33 22.693 
11.451 41.701 0.575 0.435 19.207 18.583 -180.093 0.761 
11.474 41.703 0.592 0.436 21.208 21.046 -148.366 4.017 
11.46 41.707 0.581 0.44 21.542 21.522 -115.098 16.092 
11.518 41.715 0.625 0.449 20.604 19.574 -273.562 3.237 
11.462 41.716 0.582 0.449 20.909 19.795 -335.839 1.338 
11.489 41.724 0.602 0.457 22.166 21.967 -215.049 8.379 
11.501 41.746 0.612 0.479 20.766 19.447 -187.828 1.377 
11.56 41.752 0.656 0.486 21.793 20.059 -89.399 3.622 
11.478 41.754 0.595 0.487 21.322 21.228 -238.799 30.297 
11.506 41.759 0.616 0.493 22.717 21.695 -115.203 18.085 
11.527 41.774 0.631 0.508 22.4 22.441 -32.107 9.418 
11.537 41.774 0.639 0.508 21.823 20.735 -195.783 6.345 
11.568 41.777 0.662 0.511 22.236 20.851 -67.844 4.494 
11.516 41.778 0.623 0.511 22.143 21.015 -179.511 12.007 
11.559 41.781 0.655 0.515 22.971 22.453 -236.538 7.512 
11.535 41.783 0.637 0.517 22.314 22.238 -136.364 -299800.0 
11.56 41.786 0.656 0.52 21.746 21.748 -150.028 41.031 
11.498 41.789 0.609 0.523 20.969 20.539 -91.116 5.569 
11.53 41.79 0.633 0.524 22.566 22.405 -138.407 16.518 
11.526 41.792 0.631 0.526 21.307 20.549 -128.078 3.6 
11.572 41.793 0.665 0.527 21.245 20.577 -89.178 4.495 
11.562 41.798 0.657 0.532 21.539 20.902 -236.068 6.477 
11.537 41.8 0.638 0.533 21.877 21.464 -150.66 8.047 
11.566 41.8 0.661 0.534 22.16 21.568 -189.856 10.014 
11.499 41.802 0.61 0.535 22.931 22.706 -121.939 26.251 
11.492 41.802 0.605 0.535 21.938 21.924 -144.958 18.873 
11.546 41.802 0.645 0.536 22.863 22.298 -139.185 9.253 
11.552 41.806 0.65 0.54 22.01 20.834 -131.802 6.577 
11.518 41.81 0.624 0.544 21.574 21.439 -85.747 15.093 
11.499 41.81 0.61 0.543 21.059 20.189 -115.827 3.273 
11.56 41.812 0.655 0.546 21.222 21.241 -129.762 10.615 
11.54 41.814 0.641 0.547 22.71 22.632 -50.483 25.73 
11.5 41.818 0.611 0.552 19.855 19.908 -89.951 8.334 
11.508 41.819 0.616 0.553 21.63 20.701 -106.621 4.848 
11.531 41.821 0.634 0.554 21.252 21.138 -30.792 9.111 
11.508 41.822 0.616 0.555 21.718 20.62 -86.357 8.566 
11.535 41.822 0.637 0.556 22.348 21.518 -168.082 14.163 
11.508 41.824 0.617 0.558 21.28 20.533 -110.605 7.639 
11.505 41.83 0.614 0.564 21.55 21.614 -92.611 9.023 
11.362 41.602 0.508 0.335 22.442 21.106 -178.907 12.853 
11.323 41.606 0.479 0.338 21.016 20.958 -101.688 17.433 
11.332 41.606 0.486 0.339 20.268 19.719 -168.32 3.265 
11.32 41.608 0.476 0.34 21.341 20.781 -116.986 5.604 
11.38 41.608 0.522 0.341 21.961 20.734 -234.492 8.317 
11.351 41.609 0.5 0.341 20.35 19.88 -142.242 7.403 
11.322 41.613 0.478 0.345 18.016 17.747 -154.885 1.366 
11.355 41.615 0.503 0.347 20.326 19.436 -164.916 2.273 
11.36 41.618 0.506 0.35 20.132 18.774 -158.803 1.182 
11.318 41.618 0.475 0.351 22.077 21.274 -9.464 20.009 
11.337 41.62 0.489 0.352 19.514 18.705 -126.36 1.218 
11.379 41.622 0.52 0.355 20.393 18.999 -198.252 1.908 
11.331 41.624 0.485 0.357 20.724 20.163 -126.54 7.519 
11.416 41.624 0.548 0.357 20.722 20.173 -153.386 3.435 
11.346 41.626 0.496 0.359 20.24 19.335 -183.949 2.011 
11.352 41.627 0.501 0.36 21.472 20.531 -133.52 8.197 
11.359 41.628 0.506 0.36 21.504 21.35 -88.022 30.125 
11.336 41.628 0.489 0.36 21.528 21.189 -116.8 15.486 
11.36 41.631 0.507 0.363 20.877 20.563 -172.079 9.964 
11.384 41.632 0.524 0.364 21.575 20.944 -127.683 14.886 
11.333 41.632 0.486 0.365 20.59 19.71 -112.708 2.79 
11.426 41.637 0.556 0.37 19.458 19.154 -181.973 1.799 
11.336 41.638 0.489 0.371 20.24 19.22 -149.446 1.978 
11.409 41.64 0.543 0.373 22.203 21.391 -219.844 10.515 
11.344 41.642 0.495 0.375 21.329 20.246 -130.841 3.503 
11.355 41.643 0.503 0.375 21.337 20.31 -132.713 5.004 
11.346 41.643 0.496 0.376 22.149 20.948 -166.239 9.659 
11.342 41.649 0.493 0.381 20.696 19.44 -113.829 2.011 
11.348 41.649 0.497 0.382 21.059 20.37 -154.248 4.376 
11.352 41.65 0.5 0.382 21.749 20.498 -182.999 5.106 
11.356 41.651 0.504 0.383 21.208 20.031 -311.335 4.598 
11.383 41.651 0.524 0.384 20.511 20.072 -131.595 8.455 
11.349 41.652 0.498 0.385 21.979 21.399 -46.081 20.732 
11.365 41.653 0.51 0.386 22.524 22.078 -162.453 -299800.0 
11.341 41.658 0.492 0.391 21.616 20.681 -99.247 6.214 
11.394 41.662 0.532 0.395 22.2 21.059 -170.635 6.245 
11.381 41.662 0.522 0.395 20.605 19.997 -132.077 3.585 
11.412 41.664 0.546 0.397 20.824 19.993 -154.867 2.618 
11.34 41.669 0.491 0.401 21.521 21.481 -153.016 15.591 
11.356 41.672 0.503 0.405 21.653 20.511 -128.261 5.312 
11.343 41.674 0.494 0.407 20.173 19.932 -110.074 3.839 
11.399 41.678 0.536 0.411 22.152 20.828 -145.704 7.611 
11.366 41.683 0.511 0.416 21.293 21.191 -44.699 17.858 
11.363 41.687 0.509 0.42 21.558 21.159 -43.127 17.379 
11.439 41.692 0.565 0.425 19.302 18.972 -170.581 2.804 
11.413 41.692 0.546 0.425 21.321 20.247 -150.666 3.696 
11.395 41.693 0.533 0.426 21.273 20.105 -160.589 3.962 
11.372 41.694 0.515 0.427 22.527 21.592 -90.853 11.701 
11.415 41.695 0.548 0.428 21.519 20.125 -158.956 2.938 
11.357 41.697 0.504 0.429 20.438 19.532 -116.125 2.079 
11.427 41.698 0.557 0.431 21.338 20.233 -142.244 4.401 
11.392 41.701 0.53 0.434 21.247 20.943 -100.586 -299800.0 
11.36 41.701 0.507 0.434 22.357 21.952 -59.692 17.9 
11.395 41.705 0.532 0.438 21.561 20.774 -103.335 15.351 
11.391 41.708 0.53 0.441 21.815 21.199 -116.613 11.099 
11.409 41.71 0.543 0.443 22.484 21.957 -136.942 15.8 
11.398 41.711 0.535 0.444 21.766 20.59 -79.745 8.219 
11.374 41.711 0.517 0.444 21.163 20.047 -117.369 2.613 
11.407 41.713 0.542 0.446 21.192 20.544 -144.34 9.11 
11.384 41.717 0.524 0.45 20.039 19.205 -121.547 1.446 
11.408 41.719 0.542 0.452 19.449 18.213 -135.44 0.614 
11.402 41.72 0.538 0.453 20.458 19.998 -172.111 11.086 
11.389 41.721 0.528 0.454 20.999 20.389 -193.558 8.651 
11.43 41.722 0.559 0.455 20.735 20.121 -114.775 7.837 
11.435 41.726 0.562 0.459 18.499 18.109 -120.259 1.523 
11.392 41.728 0.53 0.461 21.176 20.533 -110.339 5.291 
11.386 41.729 0.526 0.462 21.393 20.307 -128.978 6.202 
11.381 41.73 0.522 0.463 22.079 21.96 -37.828 22.95 
11.43 41.73 0.558 0.463 20.2 19.92 -118.742 7.428 
11.431 41.732 0.559 0.465 21.442 21.259 -220.321 -299800.0 
11.402 41.733 0.538 0.466 21.935 20.701 -104.974 6.415 
11.432 41.734 0.56 0.467 21.723 20.961 -104.159 8.755 
11.425 41.736 0.555 0.469 20.746 20.322 -134.879 4.821 
11.429 41.736 0.558 0.47 21.645 21.08 -152.229 12.93 
11.413 41.737 0.546 0.47 21.261 20.849 -49.431 5.58 
11.401 41.739 0.537 0.472 21.702 20.41 -116.178 4.277 
11.423 41.747 0.553 0.48 21.608 20.935 -337.519 45.232 
11.419 41.747 0.551 0.48 21.058 20.56 -141.653 5.646 
11.414 41.748 0.547 0.481 21.636 21.041 -276.247 31.749 
11.449 41.748 0.572 0.481 21.916 21.462 -163.05 10.472 
11.405 41.749 0.54 0.482 21.449 20.576 -108.063 5.528 
